epoch,loss
1,2.274885055630706
2,1.8502470148626224
3,1.6132450065871542
4,1.4497239813324092
5,1.3519626182179119
6,1.2908870538999868
7,1.2484914959863176
8,1.2164133666097656
9,1.1901106478631958
10,1.168288285325664
11,1.149110655174699
12,1.132088563700979
13,1.1165966498759365
14,1.1028222259624985
15,1.0902498354283414
16,1.0784143673357114
17,1.06730826363083
18,1.0570707575295322
19,1.0470954958320589
20,1.0377070298952649
21,1.0290223950101423
22,1.020735580884209
23,1.0125840200472247
24,1.0050134816373042
25,0.9975638092488281
26,0.990434172495391
27,0.9837237072545428
28,0.9771178678024647
29,0.971066720125287
30,0.9648261493490647
31,0.9592309660689775
32,0.9536111918068672
33,0.9483368292335392
34,0.9431150568086047
35,0.9382519453070884
36,0.9331656309523324
37,0.928654114682545
38,0.9241590145946473
39,0.9199192836765171
40,0.9158355539621309
41,0.9117222917172336
42,0.907862364598947
43,0.9040680889011353
44,0.9003947505193163
45,0.8967605994653333
46,0.8935763389565224
47,0.8902845362822215
48,0.8871717604555825
49,0.8839791738247686
50,0.8809586587340332
51,0.8779615539450978
52,0.8751114710356838
53,0.8721990866254467
54,0.8696546794832215
55,0.8669582867807196
56,0.8645176773847536
57,0.8619214440963064
58,0.8596427734046019
59,0.8570416821989902
60,0.8550803445106329
61,0.8528501323489256
